usuario_id,total_compras,total_productos,gasto_total,gasto_promedio_por_compra,desviacion_gasto,primera_compra,ultima_compra,dias_actividad,frecuencia_promedio_compras,compras_ultimos_3_meses,dias_desde_ultima_compra,prop_recoger_en_tienda,metodo_pago_predominante,num_tipos_unicos,num_marcas_unicas,num_categorias_unicas,tipos_comprados,marcas_compradas,categorias_compradas,colores_comprados,tallas_compradas,Cluster
40,4,21,13780,1148.333333,743.223086,11/03/2025 07:52,01/07/2025 12:19,112,0.0354,3,18,1.5,transferencia,6,1,1,"['CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SACO', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul, Azul fuerte, Beige, Gris, Negro, Rojo, Verde mate",['M'],0
41,3,13,13817,1727.125,720.791134,01/04/2025 09:49,19/05/2025 19:02,48,0.0612,3,61,2.6667,transferencia,4,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SUDADERA']",O,['NIÑO'],"Amarillo, Beige, Blanco, Gris, Verde mate",['M'],0
42,3,15,14380,1597.777778,628.114954,12/04/2025 18:35,27/06/2025 04:04,76,0.039,6,22,0,efectivo,4,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA']",O,['NIÑO'],"Amarillo, Azul marino, Beige, Blanco, Rosa",['M'],0
43,4,23,16649,1189.214286,851.632565,17/02/2025 01:50,30/03/2025 09:13,41,0.0952,0,111,2.5,efectivo,6,1,3,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'PLAYERA', 'SUDADERA']",O,"['NIÑA', 'NIÑO', 'RECIÉN NACIDO']","Amarillo, Azul fuerte, Beige, Blanco, Cafe, Gris, Negro, Rosa, Verde",['M'],2
44,4,18,16108,1464.363636,1033.552327,05/02/2025 09:57,21/05/2025 02:32,105,0.0377,5,59,1.25,efectivo,6,1,2,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SHORT', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Azul fuerte, Azul marino, Morado, Negro, Rojo, Rosa","['M', 'S']",2
45,4,19,17989,1798.9,1044.82443,04/02/2025 16:15,29/04/2025 05:09,84,0.0471,3,81,2,transferencia,5,1,1,"['CHAMARRA', 'CONJUNTO', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Morado, Negro, Rosa",['M'],1
46,3,13,12980,1442.222222,866.984272,08/06/2025 00:44,01/07/2025 08:52,23,0.125,9,18,3,transferencia,5,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO CAMISA', 'GUAYABERA LARGA', 'PLAYERA']",O,['NIÑO'],"Azul, Azul fuerte, Blanco, Rosa, Verde","['M', 'S']",0
47,4,14,15689,1743.222222,906.796042,03/05/2025 21:49,16/07/2025 09:33,74,0.0533,9,3,1.75,transferencia,4,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Rosa, Verde","['M', 'S']",1
48,3,19,16356,1635.6,907.046548,05/02/2025 06:45,29/05/2025 20:11,113,0.0263,7,51,2.3333,efectivo,7,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'GUAYABERA', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul fuerte, Beige, Blanco, Rojo, Rosa, Verde",['M'],2
49,3,14,12147,1349.666667,559.732476,26/01/2025 06:08,18/07/2025 00:27,173,0.0172,5,1,1.6667,efectivo,5,1,1,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SACO', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul fuerte, Azul marino, Blanco, Cafe, Negro, Rojo",['M'],0
50,4,19,13460,1121.666667,676.681034,19/03/2025 14:13,08/07/2025 02:16,111,0.0357,10,11,1.75,transferencia,5,1,1,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SACO', 'SHORT']",O,['NIÑO'],"Azul, Azul fuerte, Azul marino, Beige, Blanco, Rosa, Verde mate",['M'],0
51,3,16,12628,1403.111111,804.328353,15/03/2025 03:22,06/07/2025 04:56,113,0.0263,6,13,2,transferencia,3,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO CAMISA']",O,['NIÑO'],"Azul, Azul marino, Beige, Blanco, Gris, Rosa, Vino",['M'],0
52,3,12,8980,1122.5,828.473747,31/01/2025 23:53,05/05/2025 15:45,94,0.0316,2,75,1.6667,efectivo,4,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Amarillo, Azul mate, Blanco, Morado, Negro, Rosa, Verde",['M'],1
53,3,10,6730,961.428571,813.606233,02/07/2025 12:46,16/07/2025 00:12,14,0.2,7,3,2.3333,transferencia,5,1,1,"['CHAMARRA', 'CONJUNTO', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Morado, Negro, Rojo, Rosa",['M'],1
54,4,21,22969,1766.846154,903.072179,28/03/2025 09:55,11/07/2025 21:34,105,0.0377,7,8,0,transferencia,5,1,1,"['CONJUNTO', 'CONJUNTO VESTIDO', 'GUAYABERA', 'PANTALON', 'SUDADERA']",O,['NIÑA'],"Azul, Azul fuerte, Blanco, Morado, Rosa, Verde, Vino","['M', 'O', 'S']",1
55,3,10,6008,751,399.871229,14/05/2025 21:51,18/07/2025 17:18,65,0.0455,8,1,2.6667,transferencia,4,1,2,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SHORT']",O,"['NIÑA', 'NIÑO']","Azul marino, Beige, Blanco, Rojo, Rosa","['M', 'S']",0
56,3,16,13610,1512.222222,829.936782,25/01/2025 03:02,25/04/2025 05:38,90,0.033,3,85,1,transferencia,6,1,3,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'PLAYERA', 'SUDADERA']",O,"['NIÑA', 'NIÑO', 'RECIÉN NACIDO']","Azul fuerte, Beige, Blanco, Gris, Rosa",['M'],2
57,3,12,11470,1638.571429,977.875665,19/02/2025 15:51,18/06/2025 21:00,119,0.025,5,31,1.6667,transferencia,2,1,1,"['CONJUNTO', 'VESTIDO']",O,['NIÑA'],"Blanco, Morado, Rojo, Rosa, Vino",['M'],1
58,4,19,12579,1048.25,358.313672,19/01/2025 16:37,12/07/2025 12:34,174,0.0229,7,7,1.5,transferencia,7,1,2,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'PANTALON', 'PLAYERA', 'SHORT', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul, Azul fuerte, Azul mate, Beige, Blanco, Naranja, Negro, Rosa, Verde, Verde mate, Vino",['M'],2
59,4,20,18579,1857.9,893.43589,06/03/2025 23:09,18/07/2025 16:01,134,0.0296,4,1,0.5,transferencia,6,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'PANTALON', 'VESTIDO']",O,['NIÑA'],"Azul, Azul mate, Blanco, Rosa, Verde",['M'],1
60,3,15,16119,1611.9,886.779843,06/02/2025 02:49,17/03/2025 00:11,39,0.075,0,124,0,transferencia,5,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO CAMISA', 'CONJUNTO GUAYABERA', 'PLAYERA']",O,['NIÑO'],"Amarillo, Azul, Blanco, Cafe, Naranja, Vino",['M'],0
61,4,19,16750,1522.727273,690.942583,21/01/2025 03:42,09/07/2025 03:15,169,0.0235,6,10,1.25,transferencia,6,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'GUAYABERA', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Beige, Blanco, Cafe, Rojo, Rosa, Verde","['M', 'O']",2
62,3,15,8290,1036.25,381.540873,17/02/2025 06:02,07/07/2025 09:47,140,0.0213,6,12,2,efectivo,4,1,1,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SUDADERA']",O,['NIÑO'],"Azul fuerte, Beige, Rojo, Rosa, Verde mate",['M'],0
63,3,12,10168,1271,687.111345,03/02/2025 12:35,09/06/2025 16:35,126,0.0236,2,40,0,efectivo,6,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SACO', 'SHORT']",O,['NIÑO'],"Amarillo, Azul, Azul marino, Beige, Blanco, Negro, Rojo, Verde","['M', 'S']",0
64,3,19,16220,1474.545455,602.002169,13/02/2025 07:56,08/07/2025 10:08,145,0.0205,7,11,3.6667,efectivo,6,1,2,"['CAMISA', 'CONJUNTO', 'GUAYABERA', 'PANTALON', 'PLAYERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul, Azul fuerte, Azul marino, Blanco, Gris, Rosa, Verde","['M', 'S']",2
65,3,13,13903,1986.142857,934.07455,24/03/2025 07:18,17/06/2025 09:15,85,0.0349,5,32,1,transferencia,3,1,1,"['CONJUNTO', 'PANTALON', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Rosa, Verde","['M', 'S']",1
66,4,17,19739,1644.916667,883.601292,17/05/2025 18:54,21/06/2025 11:33,35,0.1111,12,28,0,transferencia,5,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Azul marino, Blanco, Morado, Verde",['M'],1
67,4,19,10470,951.818182,633.745263,05/06/2025 04:12,17/07/2025 10:20,42,0.093,11,2,1.5,efectivo,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Azul, Azul marino, Gris, Naranja, Negro, Rojo, Rosa, Vino",['M'],0
68,4,19,16250,1477.272727,871.530429,10/03/2025 00:56,07/07/2025 18:48,119,0.0333,5,12,0.75,transferencia,7,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'GUAYABERA', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Negro, Rosa, Verde, Vino","['M', 'O']",1
69,4,20,12018,1001.5,454.86051,19/01/2025 23:13,13/07/2025 10:10,175,0.0227,7,6,1.75,transferencia,7,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Azul, Azul fuerte, Beige, Blanco, Gris, Negro, Rojo, Verde mate, Vino",['M'],0
70,4,12,10450,1161.111111,827.693508,20/01/2025 02:03,03/06/2025 03:47,134,0.0296,5,46,1.5,transferencia,4,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Azul mate, Blanco, Morado, Negro, Rosa, Verde","['M', 'S']",1
71,3,9,9228,1538,578.077273,11/02/2025 01:44,02/04/2025 06:07,50,0.0588,0,108,0.6667,transferencia,4,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Blanco, Rojo, Rosa, Vino",['M'],1
72,4,21,16440,1494.545455,987.009843,14/05/2025 07:53,16/07/2025 06:41,63,0.0625,11,3,2.75,efectivo,5,1,2,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SHORT', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul marino, Azul mate, Beige, Gris, Negro, Rojo, Rosa, Verde","['M', 'S']",2
73,4,17,15030,1503,963.317705,16/04/2025 14:40,28/06/2025 23:18,73,0.0541,8,21,2,transferencia,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SACO']",O,['NIÑO'],"Azul, Azul fuerte, Beige, Blanco, Cafe, Negro, Rojo, Verde","['M', 'S']",0
74,3,16,13232,1654,1205.063069,20/01/2025 04:45,10/04/2025 16:58,80,0.037,0,100,1.6667,efectivo,4,1,1,"['CONJUNTO', 'CONJUNTO CAMISA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul, Beige, Gris, Vino",['M'],0
75,3,15,12940,1437.777778,1014.262488,03/04/2025 22:57,15/06/2025 16:49,73,0.0405,5,34,3,efectivo,5,1,1,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SACO', 'SUDADERA']",O,['NIÑO'],"Azul, Beige, Blanco, Cafe, Gris, Naranja, Negro",['M'],0
76,4,24,20626,1718.833333,929.100177,22/02/2025 23:53,21/06/2025 07:44,119,0.0333,6,28,0,efectivo,4,1,2,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Blanco, Morado, Rojo, Rosa",['M'],2
77,3,10,4790,798.333333,368.619798,06/03/2025 12:02,19/05/2025 04:19,74,0.04,2,61,0.6667,efectivo,4,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Amarillo, Azul mate, Rosa, Verde","['M', 'S']",1
78,3,10,7480,1068.571429,820.146826,20/03/2025 23:20,22/05/2025 14:45,63,0.0469,5,58,0,transferencia,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'GUAYABERA', 'PLAYERA', 'SACO']",O,['NIÑO'],"Azul, Beige, Blanco, Gris, Verde mate",['M'],0
79,3,12,6229,778.625,521.038131,04/03/2025 14:05,15/06/2025 07:46,103,0.0288,6,34,1.6667,transferencia,4,1,1,"['CHAMARRA', 'CONJUNTO', 'PANTALON', 'VESTIDO']",O,['NIÑA'],"Azul, Azul fuerte, Morado, Negro, Rojo, Rosa",['M'],1
80,4,23,17510,1250.714286,770.857262,19/02/2025 20:42,19/05/2025 18:42,89,0.0444,7,61,1.5,transferencia,7,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'GUAYABERA LARGA', 'PLAYERA', 'SHORT']",O,['NIÑO'],"Amarillo, Azul, Azul fuerte, Beige, Blanco, Gris, Naranja, Negro, Rojo, Verde","['M', 'S']",0
81,4,23,17652,1260.857143,581.149951,02/04/2025 08:42,06/06/2025 13:33,65,0.0606,11,43,0.75,transferencia,5,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Beige, Blanco, Negro, Rosa, Verde","['M', 'S']",2
82,3,11,8948,1278.285714,765.917137,23/03/2025 11:24,14/07/2025 00:35,113,0.0263,5,5,0,efectivo,4,1,1,"['CONJUNTO', 'CONJUNTO VESTIDO', 'PANTALON', 'VESTIDO']",O,['NIÑA'],"Azul fuerte, Azul mate, Rosa, Verde","['M', 'S']",1
83,3,10,7580,1263.333333,1100.494838,16/05/2025 18:58,03/06/2025 22:07,18,0.1579,6,46,1.3333,efectivo,5,1,1,"['CHAMARRA', 'GUAYABERA', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Azul mate, Blanco, Negro, Rojo, Verde","['M', 'O']",1
84,4,16,12867,1286.7,672.988566,01/02/2025 01:11,30/04/2025 20:35,88,0.0449,2,80,1.25,transferencia,6,1,1,"['CHAMARRA', 'CONJUNTO GUAYABERA', 'GUAYABERA', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Blanco, Morado, Negro, Rojo, Rosa, Verde","['M', 'O']",1
85,3,15,13489,1498.777778,828.847095,12/03/2025 15:58,11/07/2025 13:37,121,0.0246,2,8,1,transferencia,5,1,2,"['CAMISA', 'CONJUNTO', 'PLAYERA', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul, Azul marino, Blanco, Gris, Rosa, Verde, Verde mate","['M', 'S']",2
86,4,17,15348,1395.272727,751.064952,27/01/2025 10:11,03/07/2025 01:08,157,0.0253,3,16,1.5,transferencia,5,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'CONJUNTO VESTIDO', 'PANTALON', 'VESTIDO']",O,['NIÑA'],"Azul, Azul mate, Blanco, Morado, Rosa, Vino",['M'],1
87,4,18,10683,1068.3,377.824311,24/02/2025 05:51,11/06/2025 17:09,107,0.037,6,38,1.75,efectivo,5,1,2,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul mate, Blanco, Rojo, Verde mate",['M'],2
88,4,21,11289,940.75,298.715898,30/01/2025 05:52,21/05/2025 23:56,111,0.0357,2,59,1.25,efectivo,7,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'CONJUNTO CAMISA', 'PLAYERA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul, Azul fuerte, Beige, Blanco, Gris, Negro, Rosa, Verde mate",['M'],0
89,4,15,12485,1387.222222,776.848588,20/02/2025 14:03,11/07/2025 21:13,141,0.0282,5,8,1.75,transferencia,5,1,1,"['CHAMARRA', 'CONJUNTO', 'GUAYABERA', 'PANTALON', 'SUDADERA']",O,['NIÑA'],"Beige, Rojo, Rosa, Verde","['M', 'O']",1
90,3,10,9830,1638.333333,1276.719973,01/04/2025 20:10,14/06/2025 16:02,74,0.04,2,35,1.3333,efectivo,6,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'GUAYABERA LARGA', 'PLAYERA', 'SUDADERA']",O,['NIÑO'],"Azul, Blanco, Cafe, Naranja, Rojo",['M'],0
91,4,20,17876,1625.090909,806.996953,05/03/2025 12:11,04/05/2025 01:19,60,0.0656,3,76,2.25,efectivo,7,1,1,"['CHAMARRA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'GUAYABERA', 'PANTALON', 'SUDADERA', 'VESTIDO']",O,['NIÑA'],"Azul, Azul fuerte, Azul marino, Beige, Rosa, Verde","['M', 'O']",1
92,3,14,14152,1572.444444,772.582266,19/01/2025 22:00,23/04/2025 07:40,94,0.0316,3,87,3,transferencia,4,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Beige, Blanco, Rojo, Verde","['M', 'S']",2
93,3,15,13264,1658,832.785687,22/03/2025 01:39,01/07/2025 15:08,101,0.0294,6,18,1.6667,transferencia,3,1,1,"['CHAMARRA', 'CONJUNTO', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Morado, Negro, Rojo, Verde",['M'],1
94,3,17,14160,1287.272727,1046.292944,05/03/2025 22:47,11/07/2025 06:52,128,0.0233,7,8,1,efectivo,5,1,1,"['CAMISA', 'CONJUNTO', 'GUAYABERA', 'PLAYERA', 'SHORT']",O,['NIÑO'],"Azul marino, Beige, Blanco, Gris, Negro, Rojo, Rosa, Verde mate",['M'],0
95,4,18,12830,1069.166667,751.680987,03/02/2025 14:53,01/04/2025 19:56,57,0.069,0,109,1.5,transferencia,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SACO', 'SHORT']",O,['NIÑO'],"Azul, Azul fuerte, Azul marino, Beige, Blanco, Gris, Rojo, Rosa",['M'],0
96,3,18,9860,1232.5,454.415834,06/05/2025 01:56,24/05/2025 20:32,18,0.1579,8,56,0.6667,efectivo,5,1,1,"['CONJUNTO', 'PLAYERA', 'SACO', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Azul, Azul marino, Beige, Gris, Negro, Rojo",['M'],0
97,4,18,14956,1359.636364,818.362475,26/01/2025 04:46,03/05/2025 02:15,97,0.0408,6,77,1.5,efectivo,7,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'GUAYABERA', 'PLAYERA', 'SACO', 'SHORT']",O,['NIÑO'],"Amarillo, Azul, Azul fuerte, Beige, Blanco, Negro",['M'],0
98,4,21,21480,1790,1155.342662,26/02/2025 23:11,18/07/2025 17:19,142,0.028,9,1,2.25,efectivo,6,1,3,"['CAMISA', 'CONJUNTO', 'GUAYABERA', 'GUAYABERA LARGA', 'PLAYERA', 'SUDADERA']",O,"['NIÑA', 'NIÑO', 'RECIÉN NACIDO']","Azul marino, Beige, Blanco, Cafe, Morado, Rosa, Verde, Verde mate","['M', 'O']",2
99,3,14,13522,1931.714286,1086.87254,28/01/2025 09:43,19/06/2025 03:59,142,0.021,5,30,0.6667,transferencia,5,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'GUAYABERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul mate, Blanco, Negro, Rosa, Verde",['M'],2
100,4,21,17346,1445.5,927.226734,27/01/2025 01:28,11/06/2025 11:46,135,0.0294,7,38,2.25,transferencia,5,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'PLAYERA', 'SHORT']",O,['NIÑO'],"Amarillo, Azul, Azul marino, Blanco, Gris, Negro, Rojo, Verde","['M', 'S']",0
101,4,19,15040,1253.333333,769.018133,10/02/2025 12:54,03/07/2025 04:43,143,0.0278,2,16,2.5,transferencia,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'GUAYABERA LARGA', 'PLAYERA', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul fuerte, Beige, Blanco, Gris, Rojo, Verde mate",['M'],0
102,4,26,21728,1552,634.852514,14/02/2025 09:03,21/04/2025 22:28,66,0.0597,3,89,0.75,transferencia,6,1,2,"['CAMISA', 'CONJUNTO', 'CONJUNTO VESTIDO', 'SHORT', 'SUDADERA', 'VESTIDO']",O,"['NIÑA', 'NIÑO']","Azul, Azul marino, Beige, Blanco, Rosa",['M'],2
103,3,12,8472,941.333333,187.310793,15/03/2025 23:21,05/06/2025 03:34,82,0.0361,6,44,2,transferencia,6,1,2,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'GUAYABERA', 'PANTALON', 'SUDADERA']",O,"['NIÑA', 'NIÑO']","Amarillo, Azul, Beige, Blanco, Rojo, Rosa, Verde","['M', 'O', 'S']",2
104,3,13,10724,1532,987.984239,02/02/2025 06:50,07/04/2025 04:19,64,0.0462,0,103,1.6667,efectivo,3,1,1,"['CONJUNTO', 'CONJUNTO VESTIDO', 'VESTIDO']",O,['NIÑA'],"Blanco, Morado, Rojo, Verde","['M', 'S']",1
105,4,16,9616,1202,819.458968,28/02/2025 21:42,21/04/2025 18:09,52,0.0755,2,89,0.5,transferencia,5,1,1,"['CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul fuerte, Beige, Blanco, Rojo, Verde mate",['M'],0
106,4,19,17452,1745.2,899.903306,15/03/2025 12:32,08/07/2025 16:08,115,0.0345,4,11,0.75,transferencia,3,1,1,"['CONJUNTO', 'CONJUNTO GUAYABERA', 'VESTIDO']",O,['NIÑA'],"Azul, Blanco, Rosa, Verde, Vino","['M', 'S']",1
107,4,16,11916,993,590.546922,21/01/2025 11:13,24/03/2025 17:52,62,0.0635,0,117,2,transferencia,6,1,1,"['CAMISA', 'CHAMARRA', 'CONJUNTO', 'PLAYERA', 'SHORT', 'SUDADERA']",O,['NIÑO'],"Amarillo, Azul, Beige, Blanco, Gris, Naranja, Negro, Rojo",['M'],0
108,3,16,16296,2037,1486.547342,20/01/2025 01:32,11/07/2025 05:08,172,0.0173,3,8,0.6667,efectivo,4,1,1,"['CAMISA', 'CONJUNTO', 'CONJUNTO GUAYABERA', 'SACO']",O,['NIÑO'],"Amarillo, Beige, Blanco, Gris, Negro",['M'],0
